id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12362389,Stunning 2-bed w/ private entrance!,2025724,Whitney,,Back Bay,42.35457,-71.07243,Entire home/apt,600,2,0,,,1,0
12365159,Gorgeous apartement in Beacon Hill,2788083,Simone,,Beacon Hill,42.35879,-71.06753,Entire home/apt,395,2,0,,,1,0
12365454,"Downtown Crossing - 2 Bed, 1 Bath",11272292,Talal,,Downtown,42.35537,-71.06223,Entire home/apt,290,1,169,2019-09-07,4.09,6,156
12368012,(Website hidden by Airbnb),66824316,Patrick,,Jamaica Plain,42.30872,-71.11052,Entire home/apt,225,3,5,2018-09-14,0.14,1,310
12368082,Sky-room in beautiful Victorian,15198549,Felicia,,Roxbury,42.31644,-71.09391,Private room,50,7,16,2019-06-13,0.40,2,264
12372052,3 min to subway T stop-Orange Line-10 min downtown,21745230,Jurek,,Charlestown,42.38323,-71.07733,Entire home/apt,150,28,63,2018-08-31,1.61,10,128
12382239,2BR Luxury Apt - Downtown/West End,45824588,Matt,,Downtown,42.36432,-71.06108,Entire home/apt,250,2,11,2016-07-22,0.26,1,0
12382743,LUX Boston 1BR Apt.-Financial Dist.,30283594,Kara,,Chinatown,42.35113,-71.06138,Entire home/apt,136,9,0,,,100,89
12383703,Downtown Boston 2BR Apt- Indoor Pool!,30283594,Kara,,Downtown,42.35211,-71.06347,Entire home/apt,182,9,12,2018-07-20,0.30,100,83
12384469,"South End, sunny, quiet, 1 bedroom condo",10757098,Kit,,South End,42.33652,-71.0697,Entire home/apt,220,5,25,2019-09-20,0.65,1,83
12386020,Private Bedroom + Great Coffee,64200298,Deborah,,Roslindale,42.29169,-71.13189,Private room,75,2,56,2019-09-05,1.34,1,74
12390027,Live Boston Well From Your Doorstep,33101721,Lucian,,Back Bay,42.34706,-71.08023,Entire home/apt,175,2,174,2019-09-05,4.25,5,15
12407753,Beautiful North End Apartment,66721032,Brad,,North End,42.36608,-71.05278,Entire home/apt,180,6,0,,,1,0
12409042,Close to Harvard - Zen Room Lic# STR383892,26956083,Todd,,Allston,42.35942,-71.12733,Private room,69,2,149,2019-09-07,3.65,4,120
12446656,Comfy sofa bed right in the Fenway,12790789,Amanda,,Fenway,42.34463,-71.09491,Shared room,80,1,13,2017-04-18,0.31,2,0
12489916,Penthouse in Back Bay,65907845,Douglas,,Back Bay,42.35392,-71.07567,Entire home/apt,281,4,12,2016-07-20,0.29,1,0
12492474,Stay with Fun Family (queen size bed),67637928,Yuki,,Mattapan,42.27399,-71.07083,Private room,36,28,8,2019-08-08,0.20,2,289
12493396,One-BR Apt in Heart of Beacon Hill,29568033,Tracey,,Beacon Hill,42.35848,-71.06948,Entire home/apt,299,2,3,2016-07-09,0.07,1,0
12496332,Sunny & Spacious room- South End,11556349,Ashley,,South End,42.33909,-71.07901,Private room,60,7,0,,,1,0
12535687,In-Law Apartment,30349101,Rossanna,,Roslindale,42.28389,-71.13141,Entire home/apt,125,2,40,2019-09-18,1.09,1,341
12540640,Pull out sofa next to T stop and 10 mins to BU,6610984,Thibaud,,Allston,42.3519,-71.12958,Shared room,58,1,20,2017-10-27,0.52,1,0
12566065,Large and Cozy Boston Bedroom,68125441,Katie,,Jamaica Plain,42.30443,-71.10968,Private room,60,2,5,2016-09-08,0.13,1,0
12581300,Private room in South Boston,68232240,Tyler,,South Boston,42.33084,-71.05246,Private room,65,2,11,2016-07-26,0.27,1,0
12592696,Clean and comfort bedroom,35068378,Zicong,,Allston,42.34772,-71.13526,Private room,90,1,1,2016-06-12,0.03,1,0
12599820,North End Furnished Condo!,68369590,David,,North End,42.36555,-71.05452,Entire home/apt,175,2,3,2016-08-27,0.07,1,0
12602632,Lovely and Warm 2 Bedroom Condo (Close to the T),68394908,Shelton,,Jamaica Plain,42.32052,-71.10588,Entire home/apt,160,2,20,2018-12-26,0.57,1,237
12608363,Classic Brownstone Walk-Up,68434060,Elle,,Mission Hill,42.33455,-71.10296,Private room,60,1,2,2016-05-24,0.05,1,0
12618291,The 1880 House: Historic Single Family Victorian!,68502098,Kristen,,West Roxbury,42.28076,-71.15321,Entire home/apt,400,3,11,2019-08-24,0.28,1,191
12646288,1 bedroom in Minimalist Cozy Apartment,15393686,Helene,,East Boston,42.3697,-71.03228,Private room,98,2,12,2018-06-23,0.33,1,0
12652181,Parkside and sunny with a view,12790789,Amanda,,Fenway,42.34298,-71.09438,Entire home/apt,210,2,2,2016-07-17,0.05,2,0
12672097,Boston Brownstone,46846483,Giannoula,,Fenway,42.34619,-71.08887,Entire home/apt,249,2,89,2019-09-08,2.89,1,76
12679021,View of IndyCar...ON THE STREET!,38001139,Robert,,South Boston Waterfront,42.34836,-71.03988,Entire home/apt,3000,1,0,,,1,0
12699603,Large Urban Oasis close to beach!,69028974,Christine,,East Boston,42.38366,-71.00026,Entire home/apt,225,2,3,2016-10-23,0.07,1,0
12707324,交通便利 经济实惠的公寓单间｡,69077492,Yingda,,Mission Hill,42.33364,-71.11103,Private room,41,1,2,2016-08-07,0.05,1,0
12709469,near BC shuttle house summer sublet,67822066,Yicong,,Brighton,42.34054,-71.14671,Private room,32,20,1,2016-07-24,0.03,1,0
12738816,Charming beacon hill apartment,7981083,Dennis,,Beacon Hill,42.36032,-71.06938,Entire home/apt,196,5,6,2016-10-23,0.15,1,0
