,Borough,airbnb_inventory,airbnb_price,type,neighborhood,rental_price,rental_inventory
870,Manhattan,27,285.0,ThreePlusBd,Washington Heights,2950.0,253.0
871,Staten Island,1,70.0,Studio,West Brighton,,
872,Staten Island,2,100.0,OneBd,West Brighton,,
873,Staten Island,2,114.5,TwoBd,West Brighton,,
874,Staten Island,1,190.0,ThreePlusBd,West Brighton,,
875,Bronx,1,165.0,TwoBd,West Farms,,
876,Manhattan,135,188.0,Studio,West Village,2895.0,143.0
877,Manhattan,375,220.0,OneBd,West Village,3825.0,222.0
878,Manhattan,93,300.0,TwoBd,West Village,4744.0,118.0
879,Manhattan,25,600.0,ThreePlusBd,West Village,7995.0,49.0
880,Bronx,1,670.0,Studio,Westchester Square,,
881,Bronx,2,72.5,OneBd,Westchester Square,,
882,Staten Island,1,79.0,OneBd,Westerleigh,,
883,Staten Island,1,103.0,ThreePlusBd,Westerleigh,,
884,Queens,1,140.0,OneBd,Whitestone,,6.0
885,Queens,1,250.0,TwoBd,Whitestone,,8.0
886,Queens,1,400.0,ThreePlusBd,Whitestone,,3.0
887,Bronx,1,63.0,Studio,Williamsbridge,,1.0
888,Bronx,12,86.0,OneBd,Williamsbridge,,5.0
889,Bronx,4,147.5,TwoBd,Williamsbridge,,6.0
890,Bronx,2,215.0,ThreePlusBd,Williamsbridge,,8.0
891,Brooklyn,188,149.0,Studio,Williamsburg,2500.0,186.0
892,Brooklyn,940,155.0,OneBd,Williamsburg,2775.0,959.0
893,Brooklyn,532,200.0,TwoBd,Williamsburg,3025.0,1295.0
894,Brooklyn,173,300.0,ThreePlusBd,Williamsburg,3599.0,804.0
895,Staten Island,1,299.0,ThreePlusBd,Willowbrook,,
896,Brooklyn,10,100.0,Studio,Windsor Terrace,,5.0
897,Brooklyn,45,115.0,OneBd,Windsor Terrace,2200.0,35.0
898,Brooklyn,28,155.0,TwoBd,Windsor Terrace,2900.0,59.0
899,Brooklyn,27,265.0,ThreePlusBd,Windsor Terrace,3195.0,19.0
900,Queens,1,99.0,Studio,Woodhaven,,
901,Queens,9,75.0,OneBd,Woodhaven,,6.0
902,Queens,3,63.0,TwoBd,Woodhaven,,5.0
903,Queens,9,170.0,ThreePlusBd,Woodhaven,,4.0
904,Bronx,2,81.0,OneBd,Woodlawn,,3.0
905,Bronx,1,35.0,TwoBd,Woodlawn,,1.0
906,Staten Island,1,700.0,ThreePlusBd,Woodrow,,
907,Queens,4,112.5,Studio,Woodside,1595.0,13.0
908,Queens,23,99.0,OneBd,Woodside,1785.0,68.0
909,Queens,21,150.0,TwoBd,Woodside,2200.0,24.0
910,Queens,12,194.0,ThreePlusBd,Woodside,2625.0,20.0
